Id,Label,timeset,name,genre,followers,componentnumber,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,stat_inf_class
3grHWM9bx2E9vwJCdlRv9O,,,Kenny Chesney,country,4118788,0,2,2,15,0.13744,0.148151,0.000158,0.005011,589,580
4TKTii6gnOnUXQHyuo9JaD,,,Sheryl Crow,rock,962258,0,4,6,14,0.148313,0.161274,0.001589,0.011848,106,599
7dOBabd5O4CvKrg4iriHTM,,,Kid Rock,alternative metal,2212434,0,2,2,15,0.129354,0.138014,0.001068,0.004741,106,599
4BYxqVkZyFjtik7crYLg5Q,,,Chris Young,country,2660604,0,3,3,14,0.147543,0.160739,0.000315,0.00901,127,532
39NR3AUhpbbqKM33vWn2fp,,,Brothers Osborne,country,1076819,0,4,4,14,0.138328,0.151656,0.000857,0.009747,106,599
5pyVHz7lcfqKoV9BflFYwN,,,Jameson Rodgers,country,60539,0,1,1,16,0.111674,0.117794,0,0.001726,106,599
718COspgdWOnwOFpJHRZHS,,,Luke Combs,country,7496680,0,3,4,15,0.125708,0.134806,0.000473,0.004958,106,599
2EJ5MRZCzpHSSNNEpTx9Kb,,,Josh Abbott Band,country,239319,0,4,23,16,0.118368,0.12805,0.000195,0.007472,106,599
4SfGzWmeoNPKIOmiyc7Pav,,,Flatland Cavalry,country,122549,0,2,2,15,0.126905,0.136732,0.000163,0.004688,106,599
0cshCXEe1I7wlRwdrL91ZQ,,,William Clark Green,country,84382,0,1,20,17,0.105843,0.112323,0,0.002135,106,599
2qsLBELO7Pw7Bpffvv9yDT,,,Dalton Domino,country,16836,102,1,1,1,1,1,0,0.00103,96,120
7chfbqQEd0M1cJPwybXaZD,,,Stephanie Lambring,nashville singer-songwriter,1769,102,1,1,1,1,1,0,0.00103,96,120
34J7mIMU9nyg5px9m3ur88,,,Triston Marez,country,24931,103,1,1,1,1,1,0,0.00103,97,121
6wCypaPtud9fC2djKw9PDX,,,Jenna Paulette,country pop,12571,103,1,1,1,1,1,0,0.00103,97,121
3TyeX0lk4B7k56ukfzEE0z,,,Tenille Townes,country,126345,0,3,3,18,0.109625,0.115232,0.000315,0.00386,347,472
4SOtk3HtPYKqxnVuxNBMti,,,Donovan Woods,indie folk,73437,0,2,2,17,0.123101,0.130896,0.000473,0.005337,347,472
