source,target,weight
5K4W6rqBFWDnAN6FQUkS6x,5T0MSzX9RC5NA6gAI6irSn,2
31TPClRtHm23RisEBtV3X7,5Y5TRrQiqgUO4S36tzjIRZ,7
3nFkdlSjzX9mRTtwJOzDYB,6vWDO969PvNqNYHIOW5v0m,7
4p07QU02SrLsaORo25h2Lg,6GMYJwaziB4ekv1Y6wCDWS,2
3nFkdlSjzX9mRTtwJOzDYB,5K4W6rqBFWDnAN6FQUkS6x,12
5Pwc4xIPtQLFEnJriah9YJ,5Y5TRrQiqgUO4S36tzjIRZ,3
2RdwBSPQiwcmiDo9kixcl8,7hJcb9fa4alzcOq3EaNPoG,2
4OBJLual30L7gRl5UkeRcT,5pKCCKE2ajJHZ9KAiaK11H,4
4d3yvTptO48nOYTPBcPFZC,4yiQZ8tQPux8cPriYMWUFP,3
0EmeFodog0BfCgMzAIvKQp,5sUrlPAHlS9NEirDB8SEbF,1
1ZwdS5xdxEREPySFridCfh,3GMoVpWJy4smKuxFuFTwXC,12
0VbIlorLz3I5SEtIsc5vAr,2P3cjUru4H3fhSXXNxE9kA,3
2Mu5NfyYm8n5iTomuKAEHl,2WKdxPFRD7IqZvlIAvhMgY,1
1Oa0bMld0A3u5OTYfMzp5h,2B4ZHz4QDWJTXPFPgO5peE,1
1wiBLzTI7z9RUwEpNPdFT6,59wfkuBoNyhDMQGCljbUbA,10
0kJMPTXq7h3ztpDukSx5iD,2Mu5NfyYm8n5iTomuKAEHl,18
05oH07COxkXKIMt6mIPRee,6nzxy2wXs6tLgzEtqOkEi2,1
4BoRxUdrcgbbq1rxJvvhg9,7jefIIksOi1EazgRTfW2Pk,1
0NKDgy9j66h3DLnN8qu1bB,5MspMQqdVbdwP6ax3GXqum,9
4BoRxUdrcgbbq1rxJvvhg9,4hKkEHkaqCsyxNxXEsszVH,8
3PhoLpVuITZKcymswpck5b,4vjGlQWexbru6aOUCLTVir,2
4QQgXkCYTt3BlENzhyNETg,64CuUOOirKmdAYLQSfaOyr,2
0UpuH5U4nZ3UGGUJi0Zfbp,1Ek3VdZ8EPmcvgRIqnHlrF,1
1Mxqyy3pSjf8kZZL4QVxS0,3IZrrNonYELubLPJmqOci2,1
1Mxqyy3pSjf8kZZL4QVxS0,2jFZlvIea42ZvcCw4OeEdA,5
0FMucZsEnCxs5pqBjHjIc8,5rX2c1zow6hCph8PnnU3kF,9
6kACVPfCOnqzgfEF5ryl0x,74ASZWbe4lXaubB36ztrGX,1
6CXezToiGS8K6jr9kr8Muv,7dNsHhGeGU5MV01r06O8gK,3
0IwlY33zbBXN7zlS9DP2Cj,1nJvji2KIlWSseXRSlNYsC,5
19eLuQmk9aCobbVDHc6eek,5V0MlUE1Bft0mbLlND7FJz,10
2ttm3uT0N1RN7vwKv1pQgh,32LHRiof0sa4taYew9i3Fa,3
3ESG6pj6a0LvUKklENalT6,3EVyH5tLgdq62aXTdKfzey,1
21LGsW7bziR4Ledx7WZ1Wf,7LfRnzGM0wRSyS5mmAwJbv,1
6LuN9FCkKOj5PcnpouEgny,6qqNVTkY8uBg9cP3Jd7DAH,1
0du5cEVh5yTK9QJze8zA0C,3jK9MiCrA42lLAdMGUZpwa,44
4gzpq5DPGxSnKTe4SA8HAU,69GGBxA162lTqCwzJG5jLp,2
3Nrfpe0tUJi4K4DXYWgMUX,4gzpq5DPGxSnKTe4SA8HAU,5
1uNFoZAHBGtllmzznpCI3s,66CXWjxzNUsdJxJ2JdwvnR,1
4nDoRrQiYLoBzwC5BhVJzF,7n2wHs1TKAczGzO7Dd2rGr,3
2qxJFvFYMEDqd7ui6kSAcq,4lDBihdpMlOalxy1jkUbPl,9
5y2Xq6xcjJb2jVM54GHK3t,6JL8zeS1NmiOftqZTRgdTz,1
0ZED1XzwlLHW4ZaG4lOT6m,66W9LaWS0DPdL7Sz8iYGYe,3
1uNFoZAHBGtllmzznpCI3s,7z5WFjZAIYejWy0NI5lv4T,3
2AsusXITU8P25dlRNhcAbG,6hk7Yq1DU9QcCCrz9uc0Ti,2
3KNIG74xSTc3dj0TRy7pGX,55Aa2cqylxrFIXC767Z865,1
3zZ88AwlTwfCJkowsFCvLA,4qXC0i02bSFstECuXP2ZpL,3
3KNIG74xSTc3dj0TRy7pGX,5ZsFI1h6hIdQRw2ti0hz81,1
246dkjvS1zLTtiykXe5h60,757aE44tKEUQEqRuT6GnEB,1
15GGbJKqC6w0VYyAJtjej6,1ybINI1qPiFbwDXamRtwxD,3
137W8MRPWKqSmrBGDBFSop,6KZDXtSj0SzGOV705nNeh3,1
1RyvyyTE3xzB2ZywiAwp0i,4Gso3d4CscCijv0lmajZWs,3
0A0FS04o6zMoto8OKPsDwY,246dkjvS1zLTtiykXe5h60,3
1RnSjp7u3KIyEJbRiQLs9O,7HO5fOXE4gh3lzZn64tX2E,2
14CHVeJGrR5xgUGQFV5BVM,4TYOMrAFzxu8wO0yLIpOm4,1
0hCNtLu0JehylgoiP8L4Gh,3KNIG74xSTc3dj0TRy7pGX,1
3aVoqlJOYx31lH1gibGDt3,4E2rKHVDssGJm2SCDOMMJB,1
6vXTefBL93Dj5IqAWq6OTv,7rkW85dBwwrJtlHRDkJDAC,1
41I5xI04kixwmonDBl0Sda,46SHBwWsqBkxI7EeeBEQG7,1
3pcerTbRFAPvWWtAfySFWB,7c0XG5cIJTrrAgEC3ULPiq,1
23zg3TcAtWQy7J6upgbUnj,37hAfseJWi0G3Scife12Il,1
0QHgL1lAIqAw0HtD7YldmP,3TVXtAsR1Inumwj472S9r4,5
0fA0VVWsXO9YnASrzqfmYu,4Gso3d4CscCijv0lmajZWs,1
2LIk90788K0zvyj2JJVwkJ,45TgXXqMDdF8BkjA83OM7z,1
17lzZA2AlOHwCwFALHttmp,3IJ21966TwNZI24MwZHMu4,1
47TMF0JlFsz01KilGzc5Ly,4qXC0i02bSFstECuXP2ZpL,1
14CHVeJGrR5xgUGQFV5BVM,1FtBEIWAwvw5ymBen5GICR,3
1PpDfXOUG7gxUjR1quWnwp,2YZyLoL8N0Wb9xBt1NhZWg,3
14CHVeJGrR5xgUGQFV5BVM,3nViOFa3kZW8OMSNOzwr98,3
3UVRliakQfa1pMWIsNuiZ8,5MbNzCW3qokGyoo9giHA3V,1
0fA0VVWsXO9YnASrzqfmYu,7c0XG5cIJTrrAgEC3ULPiq,1
4E2rKHVDssGJm2SCDOMMJB,7tYKF4w9nC0nq9CsPZTHyP,1
0Y3agQaa6g2r0YmHPOO9rh,4r63FhuTkUYltbVAg5TQnk,1
31W5EY0aAly4Qieq6OFu6I,3hcs9uc56yIGFCSy9leWe7,3
68kEuyFKyqrdQQLLsmiatm,7c0XG5cIJTrrAgEC3ULPiq,1
1ybINI1qPiFbwDXamRtwxD,5MbNzCW3qokGyoo9giHA3V,1
6AMd49uBDJfhf30Ak2QR5s,7gWumE1wMALHXANLSIt054,1
14CHVeJGrR5xgUGQFV5BVM,5FkUhnHQ0KC63549LHHtst,3
1RyvyyTE3xzB2ZywiAwp0i,5tQMB0cuNXdCtzovGt55uD,1
14CHVeJGrR5xgUGQFV5BVM,1fctva4kpRbg2k3v7kwRuS,1
2SJhf6rTOU53g8yBdAjPby,4O15NlyKLIASxsJ0PrXPfz,1
1RyvyyTE3xzB2ZywiAwp0i,1iwUuIOKYjV7SKIg27v4zi,2
13y7CgLHjMVRMDqxdx0Xdo,5iyTbismzdvyjpjIuhKRvX,1
01Kz5ab1oYMaey58CaGTxA,1URnnhqYAYcrqrcwql10ft,1
1FX1BFU0DbHRYgKP83pA0d,6fxyWrfmjcbj5d12gXeiNV,1
0RESbWvOMyua0yuyVrztJ5,3wFzTRAvCLEACzbRmgBEHx,1
1RyvyyTE3xzB2ZywiAwp0i,45n8IV3vVbqD8xm8aVtfUj,1
2EzNKTHTCUaHUkKaNFUH8d,3iAhNz3e31lBuXYOsqGsf3,1
1ZbmerOthZbxz5eR3c9Mn1,5cNn5kF2qKIOtBQJ2z4FM3,1
579LsvZcRVKtToYjS0tkKz,5iyTbismzdvyjpjIuhKRvX,1
0gg11prPP6OqtUvBcKnPpq,2hq1yEIcPd7KMLmU6h77Cg,1
5BwsX8bXOFC1YnqSlyfOKM,6fxyWrfmjcbj5d12gXeiNV,1
13y7CgLHjMVRMDqxdx0Xdo,2AMeiDbfU2vonrTkpXDKUu,1
29gIYsdyccGoUc6qgkZeTK,5QdEbQJ3ylBnc3gsIASAT5,1
15ZjD8Gus20Miqw3fdOaXX,4PNHuWkk4ee6R8WEhFVPf5,1
44ATBEJe6woTBiC41VWQKd,5QdEbQJ3ylBnc3gsIASAT5,1
0gg11prPP6OqtUvBcKnPpq,5RivQkx7CAT7TSVFJKvbDz,1
0tCtGc5vt29zFZp6KXzN50,3nFkdlSjzX9mRTtwJOzDYB,1
28ExwzUQsvgJooOI0X1mr3,2YZyLoL8N0Wb9xBt1NhZWg,5
0SwO7SWeDHJijQ3XNS7xEE,0fA0VVWsXO9YnASrzqfmYu,9
0hCNtLu0JehylgoiP8L4Gh,3ipn9JLAPI5GUEo4y4jcoi,1
3q7HBObVc0L8jNeTe5Gofh,6DPYiyq5kWVQS4RGwxzPC7,6
0auu2itHTxEdAMRHvx7CyG,3Mcii5XWf6E0lrY3Uky4cA,1
1ZwdS5xdxEREPySFridCfh,2jp3Fk52x0HbymU0lNYbSC,4
19KwjzvIL92r29IINtlPNP,1ZwdS5xdxEREPySFridCfh,3
